,id,clos_beg_id,r_id_loc,start_time,dur,r_t_loc,sec,clock_drift,protagonist_appear,ava_charNet_score
S1E6,1.0,1.0,0.05,95.7,27.267,0.06282277085837437,1.0,-0.0,0.0,1.5868732173209754
S1E6,2.0,0.5,0.1,122.96700000000001,9.7,0.080722337138367,1.0,0.6409329742393808,0.0,2.3803098259814632
S1E6,3.0,0.3333333333333333,0.15,132.667,11.967,0.08708995341136837,1.0,0.5212672085802291,0.0,4.4198210825787845
S1E6,4.0,0.25,0.2,144.63299999999998,8.0,0.09494509736216572,1.0,0.6478641208173492,0.0,0.0
S1E6,5.0,0.2,0.25,152.63299999999998,10.033,0.10019673964917716,1.0,0.3790918858881711,0.0,2.3803098259814632
S1E6,6.0,0.16666666666666666,0.3,162.667,12.533,0.10678361198766127,1.0,0.3886520926234479,0.0,2.0395112565973204
S1E6,7.0,0.14285714285714285,0.35,175.2,42.833,0.11501096608555057,1.0,0.2468871034811102,0.0,3.5752371082013603
S1E6,8.0,0.125,0.4,218.033,120.26700000000001,0.1431289153454957,1.0,0.3112026842040849,1.0,5.990183304824932
S1E6,9.0,0.1111111111111111,0.45,338.3,141.2,0.22207882321199635,2.0,0.30501101408756026,1.0,7.487729131031166
S1E6,10.0,0.1,0.5,479.733,105.667,0.3149232636593575,2.0,-0.01959767966152554,1.0,7.600147435907314
S1E6,11.0,0.09090909090909091,0.55,585.4,50.333,0.38428892435206224,2.0,0.16388518220973802,1.0,7.030678846395996
S1E6,12.0,0.08333333333333333,0.6,635.7330000000001,94.867,0.41733028825608065,3.0,0.0347507593497528,1.0,5.5415083841831745
S1E6,13.0,0.07692307692307693,0.65,731.467,274.16700000000003,0.4801753785941748,3.0,0.03464191069059408,1.0,3.2325465574401857
S1E6,14.0,0.07142857142857142,0.7,1005.633,25.233,0.6601530985017722,4.0,-0.09563399436771948,0.0,0.0
S1E6,15.0,0.06666666666666667,0.75,1030.867,132.233,0.676718091185578,4.0,0.07643940319750286,1.0,3.354555871946826
S1E6,16.0,0.0625,0.8,1163.1,34.067,0.7635231430028759,4.0,-0.38288793019442224,1.0,7.827629868530061
S1E6,17.0,0.058823529411764705,0.85,1197.167,63.167,0.7858866052268283,4.0,-0.2484325095213731,1.0,7.827629868530061
S1E6,18.0,0.05555555555555555,0.9,1260.333,125.133,0.827352259814499,5.0,-0.17183213893530214,0.0,0.0
S1E6,19.0,0.05263157894736842,0.95,1385.467,46.833,0.9094971355573602,5.0,-0.030771054564685093,0.0,0.0
S1E6,20.0,0.05,1.0,1432.6,90.73299999999999,0.9404378425465739,5.0,0.0,0.0,0.0
