Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Inciting incident', 0.75), ('Non-Key', 0.25)]"
Scene 5,"[('Climax 1', 1.0)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Midpoint', 0.5), ('Non-Key', 0.5)]"
Scene 12,"[('Obstacle', 1.0)]"
Scene 13,"[('Non-Key', 1.0)]"
Scene 14,"[('Obstacle', 0.75), ('Non-Key', 0.25)]"
Scene 15,"[('Crisis', 0.25), ('Non-Key', 0.75)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Non-Key', 1.0)]"
Scene 18,"[('Midpoint', 0.5), ('Climax 2', 0.25), ('Non-Key', 0.25)]"
Scene 19,"[('Obstacle', 0.25), ('Disaster', 0.25), ('Non-Key', 0.5)]"
Scene 20,"[('Disaster', 0.25), ('Crisis', 0.5), ('Non-Key', 0.25)]"
Scene 21,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 22,"[('Climax 2', 0.5), ('Climax 3', 0.5)]"
Scene 23,"[('Climax 3', 0.25), ('Wrap-up', 0.75)]"
