Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Inciting incident', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Climax 1', 0.5), ('Obstacle', 0.5)]"
Scene 6,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 7,"[('Midpoint', 0.5), ('Non-Key', 0.5)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Midpoint', 0.5), ('Disaster', 0.5)]"
Scene 13,"[('Obstacle', 0.5), ('Crisis', 0.5)]"
Scene 14,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 15,"[('Obstacle', 1.0)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Non-Key', 1.0)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Non-Key', 1.0)]"
Scene 21,"[('Disaster', 0.5), ('Climax 2', 0.5)]"
Scene 22,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 23,"[('Climax 3', 1.0)]"
Scene 24,"[('Wrap-up', 1.0)]"
Scene 25,"[('Non-Key', 1.0)]"
