Timecode List:,00:01:08.819,00:01:21.164,00:01:52.571,00:02:43.622,00:03:15.279,00:08:22.544,00:08:34.848,00:09:26.775,00:09:38.412,00:09:53.927,00:10:12.863,00:12:02.514,00:12:34.004,00:17:48.902,00:19:52.401,00:20:04.705,00:20:16.300,00:20:29.313,00:22:19.423,00:26:17.369
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,
1,1946,00:01:21.164,81.164,2699,00:01:52.571,112.571,753,00:00:31.406,31.406,,,,,,,,,,,
2,2699,00:01:52.571,112.571,3923,00:02:43.622,163.622,1224,00:00:51.051,51.051,,,,,,,,,,,
3,3923,00:02:43.622,163.622,4682,00:03:15.279,195.279,759,00:00:31.657,31.657,,,,,,,,,,,
4,4682,00:03:15.279,195.279,12049,00:08:22.544,502.544,7367,00:05:07.266,307.266,,,,,,,,,,,
5,12049,00:08:22.544,502.544,12344,00:08:34.848,514.848,295,00:00:12.304,12.304,,,,,,,,,,,
6,12344,00:08:34.848,514.848,13589,00:09:26.775,566.775,1245,00:00:51.927,51.927,,,,,,,,,,,
7,13589,00:09:26.775,566.775,13868,00:09:38.412,578.412,279,00:00:11.637,11.637,,,,,,,,,,,
8,13868,00:09:38.412,578.412,14240,00:09:53.927,593.927,372,00:00:15.516,15.516,,,,,,,,,,,
9,14240,00:09:53.927,593.927,14694,00:10:12.863,612.863,454,00:00:18.936,18.936,,,,,,,,,,,
10,14694,00:10:12.863,612.863,17323,00:12:02.514,722.514,2629,00:01:49.651,109.651,,,,,,,,,,,
11,17323,00:12:02.514,722.514,18078,00:12:34.004,754.004,755,00:00:31.490,31.49,,,,,,,,,,,
12,18078,00:12:34.004,754.004,25628,00:17:48.902,1068.902,7550,00:05:14.898,314.898,,,,,,,,,,,
13,25628,00:17:48.902,1068.902,28589,00:19:52.401,1192.401,2961,00:02:03.498,123.498,,,,,,,,,,,
14,28589,00:19:52.401,1192.401,28884,00:20:04.705,1204.705,295,00:00:12.304,12.304,,,,,,,,,,,
15,28884,00:20:04.705,1204.705,29162,00:20:16.300,1216.3,278,00:00:11.595,11.595,,,,,,,,,,,
16,29162,00:20:16.300,1216.3,29474,00:20:29.313,1229.313,312,00:00:13.013,13.013,,,,,,,,,,,
17,29474,00:20:29.313,1229.313,32114,00:22:19.423,1339.423,2640,00:01:50.110,110.11,,,,,,,,,,,
18,32114,00:22:19.423,1339.423,37819,00:26:17.369,1577.369,5705,00:03:57.946,237.946,,,,,,,,,,,
