Timecode List:,00:01:04.481,00:01:16.827,00:01:59.870,00:09:10.717,00:09:23.105,00:09:48.088,00:10:06.440,00:10:20.996,00:12:12.024,00:12:22.159,00:20:10.335,00:20:21.889,00:20:53.587,00:21:38.465,00:23:36.750,00:24:06.864,00:24:35.142,00:26:19.037
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,
1,1842,00:01:16.827,76.827,2874,00:01:59.870,119.87,1032,00:00:43.043,43.043,,,,,,,,,
2,2874,00:01:59.870,119.87,13204,00:09:10.717,550.717,10330,00:07:10.848,430.848,,,,,,,,,
3,13204,00:09:10.717,550.717,13501,00:09:23.105,563.105,297,00:00:12.387,12.387,,,,,,,,,
4,13501,00:09:23.105,563.105,14100,00:09:48.088,588.088,599,00:00:24.983,24.983,,,,,,,,,
5,14100,00:09:48.088,588.088,14540,00:10:06.440,606.44,440,00:00:18.352,18.352,,,,,,,,,
6,14540,00:10:06.440,606.44,14889,00:10:20.996,620.996,349,00:00:14.556,14.556,,,,,,,,,
7,14889,00:10:20.996,620.996,17551,00:12:12.024,732.024,2662,00:01:51.028,111.028,,,,,,,,,
8,17551,00:12:12.024,732.024,17794,00:12:22.159,742.159,243,00:00:10.135,10.135,,,,,,,,,
9,17794,00:12:22.159,742.159,29019,00:20:10.335,1210.335,11225,00:07:48.177,468.177,,,,,,,,,
10,29019,00:20:10.335,1210.335,29296,00:20:21.889,1221.889,277,00:00:11.553,11.553,,,,,,,,,
11,29296,00:20:21.889,1221.889,30056,00:20:53.587,1253.587,760,00:00:31.698,31.698,,,,,,,,,
12,30056,00:20:53.587,1253.587,31132,00:21:38.465,1298.465,1076,00:00:44.878,44.878,,,,,,,,,
13,31132,00:21:38.465,1298.465,33968,00:23:36.750,1416.75,2836,00:01:58.285,118.285,,,,,,,,,
14,33968,00:23:36.750,1416.75,34690,00:24:06.864,1446.864,722,00:00:30.113,30.113,,,,,,,,,
15,34690,00:24:06.864,1446.864,35368,00:24:35.142,1475.142,678,00:00:28.278,28.278,,,,,,,,,
16,35368,00:24:35.142,1475.142,37859,00:26:19.037,1579.037,2491,00:01:43.896,103.896,,,,,,,,,
