Timecode List:,00:00:31.198,00:00:32.241,00:01:12.322,00:01:24.668,00:01:28.463,00:04:09.750,00:10:28.086,00:10:28.504,00:10:56.406,00:10:56.990,00:11:11.964,00:12:19.448,00:12:19.907,00:14:07.639,00:14:08.390,00:15:01.026,00:15:01.360,00:21:23.325,00:24:33.223,00:24:33.515,00:25:17.267,00:26:12.364,00:26:13.198
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,
1,2121,00:01:28.463,88.463,5988,00:04:09.750,249.75,3867,00:02:41.286,161.286,,,,,,,,,,,,,,
2,5988,00:04:09.750,249.75,15059,00:10:28.086,628.086,9071,00:06:18.337,378.337,,,,,,,,,,,,,,
4,15069,00:10:28.504,628.504,15738,00:10:56.406,656.406,669,00:00:27.903,27.903,,,,,,,,,,,,,,
6,15752,00:10:56.990,656.99,16111,00:11:11.964,671.964,359,00:00:14.973,14.973,,,,,,,,,,,,,,
7,16111,00:11:11.964,671.964,17729,00:12:19.448,739.448,1618,00:01:07.484,67.484,,,,,,,,,,,,,,
9,17740,00:12:19.907,739.907,20323,00:14:07.639,847.639,2583,00:01:47.733,107.733,,,,,,,,,,,,,,
11,20341,00:14:08.390,848.39,21603,00:15:01.026,901.026,1262,00:00:52.636,52.636,,,,,,,,,,,,,,
13,21611,00:15:01.360,901.36,30769,00:21:23.325,1283.325,9158,00:06:21.965,381.965,,,,,,,,,,,,,,
14,30769,00:21:23.325,1283.325,35322,00:24:33.223,1473.223,4553,00:03:09.898,189.898,,,,,,,,,,,,,,
16,35329,00:24:33.515,1473.515,36378,00:25:17.267,1517.267,1049,00:00:43.752,43.752,,,,,,,,,,,,,,
