Timecode List:,00:00:00.501,00:00:01.001,00:00:32.074,00:00:32.533,00:01:11.822,00:01:24.168,00:01:27.838,00:03:03.016,00:04:01.033,00:05:08.976,00:05:43.969,00:06:28.388,00:06:43.070,00:06:59.586,00:07:10.389,00:09:55.762,00:10:14.948,00:10:27.503,00:11:30.023,00:12:18.322,00:13:07.037,00:17:43.355,00:18:42.748,00:22:35.772,00:22:49.786,00:23:11.266,00:23:25.197,00:23:50.347,00:23:50.430,00:24:17.165,00:24:21.503,00:25:20.604,00:25:21.104,00:26:15.993,00:26:16.535
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,
1,2106,00:01:27.838,87.838,4388,00:03:03.016,183.016,2282,00:01:35.179,95.179,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4388,00:03:03.016,183.016,5779,00:04:01.033,241.033,1391,00:00:58.016,58.016,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5779,00:04:01.033,241.033,7408,00:05:08.976,308.976,1629,00:01:07.943,67.943,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7408,00:05:08.976,308.976,8247,00:05:43.969,343.969,839,00:00:34.993,34.993,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8247,00:05:43.969,343.969,9312,00:06:28.388,388.388,1065,00:00:44.419,44.419,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9312,00:06:28.388,388.388,9664,00:06:43.070,403.07,352,00:00:14.681,14.681,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9664,00:06:43.070,403.07,10060,00:06:59.586,419.586,396,00:00:16.517,16.517,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10060,00:06:59.586,419.586,10319,00:07:10.389,430.389,259,00:00:10.802,10.802,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10319,00:07:10.389,430.389,14284,00:09:55.762,595.762,3965,00:02:45.374,165.374,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14284,00:09:55.762,595.762,14744,00:10:14.948,614.948,460,00:00:19.186,19.186,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14744,00:10:14.948,614.948,15045,00:10:27.503,627.503,301,00:00:12.554,12.554,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15045,00:10:27.503,627.503,16544,00:11:30.023,690.023,1499,00:01:02.521,62.521,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16544,00:11:30.023,690.023,17702,00:12:18.322,738.322,1158,00:00:48.298,48.298,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17702,00:12:18.322,738.322,18870,00:13:07.037,787.037,1168,00:00:48.715,48.715,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18870,00:13:07.037,787.037,25495,00:17:43.355,1063.355,6625,00:04:36.318,276.318,,,,,,,,,,,,,,,,,,,,,,,,,,
16,25495,00:17:43.355,1063.355,26919,00:18:42.748,1122.748,1424,00:00:59.393,59.393,,,,,,,,,,,,,,,,,,,,,,,,,,
17,26919,00:18:42.748,1122.748,32506,00:22:35.772,1355.772,5587,00:03:53.025,233.025,,,,,,,,,,,,,,,,,,,,,,,,,,
18,32506,00:22:35.772,1355.772,32842,00:22:49.786,1369.786,336,00:00:14.014,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,
19,32842,00:22:49.786,1369.786,33357,00:23:11.266,1391.266,515,00:00:21.480,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,
20,33357,00:23:11.266,1391.266,33691,00:23:25.197,1405.197,334,00:00:13.931,13.931,,,,,,,,,,,,,,,,,,,,,,,,,,
21,33691,00:23:25.197,1405.197,34294,00:23:50.347,1430.347,603,00:00:25.150,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,
22,34296,00:23:50.430,1430.43,34937,00:24:17.165,1457.165,641,00:00:26.735,26.735,,,,,,,,,,,,,,,,,,,,,,,,,,
23,34937,00:24:17.165,1457.165,35041,00:24:21.503,1461.503,104,00:00:04.338,4.338,,,,,,,,,,,,,,,,,,,,,,,,,,
24,35041,00:24:21.503,1461.503,36458,00:25:20.604,1520.604,1417,00:00:59.101,59.101,,,,,,,,,,,,,,,,,,,,,,,,,,
