Timecode List:,00:00:00.542,00:00:01.084,00:00:46.463,00:00:46.797,00:01:11.738,00:01:26.503,00:01:38.849,00:01:42.853,00:02:36.490,00:05:44.553,00:06:08.869,00:06:34.019,00:07:41.086,00:08:02.983,00:11:43.245,00:12:37.633,00:12:38.717,00:13:21.510,00:13:21.802,00:15:16.166,00:15:16.458,00:19:48.188,00:22:54.082,00:22:54.708,00:23:51.014,00:25:22.689,00:25:23.148,00:26:17.828,00:26:18.203
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,
1,2466,00:01:42.853,102.853,3752,00:02:36.490,156.49,1286,00:00:53.637,53.637,,,,,,,,,,,,,,,,,,,,
2,3752,00:02:36.490,156.49,8261,00:05:44.553,344.553,4509,00:03:08.063,188.063,,,,,,,,,,,,,,,,,,,,
3,8261,00:05:44.553,344.553,8844,00:06:08.869,368.869,583,00:00:24.316,24.316,,,,,,,,,,,,,,,,,,,,
4,8844,00:06:08.869,368.869,9447,00:06:34.019,394.019,603,00:00:25.150,25.15,,,,,,,,,,,,,,,,,,,,
5,9447,00:06:34.019,394.019,11055,00:07:41.086,461.086,1608,00:01:07.067,67.067,,,,,,,,,,,,,,,,,,,,
6,11055,00:07:41.086,461.086,11580,00:08:02.983,482.983,525,00:00:21.897,21.897,,,,,,,,,,,,,,,,,,,,
7,11580,00:08:02.983,482.983,16861,00:11:43.245,703.245,5281,00:03:40.262,220.262,,,,,,,,,,,,,,,,,,,,
8,16861,00:11:43.245,703.245,18165,00:12:37.633,757.633,1304,00:00:54.388,54.388,,,,,,,,,,,,,,,,,,,,
9,18191,00:12:38.717,758.717,19217,00:13:21.510,801.51,1026,00:00:42.793,42.793,,,,,,,,,,,,,,,,,,,,
10,19224,00:13:21.802,801.802,21966,00:15:16.166,916.166,2742,00:01:54.364,114.364,,,,,,,,,,,,,,,,,,,,
11,21973,00:15:16.458,916.458,28488,00:19:48.188,1188.188,6515,00:04:31.730,271.73,,,,,,,,,,,,,,,,,,,,
12,28488,00:19:48.188,1188.188,32945,00:22:54.082,1374.082,4457,00:03:05.894,185.894,,,,,,,,,,,,,,,,,,,,
13,32960,00:22:54.708,1374.708,34310,00:23:51.014,1431.014,1350,00:00:56.306,56.306,,,,,,,,,,,,,,,,,,,,
14,34310,00:23:51.014,1431.014,36508,00:25:22.689,1522.689,2198,00:01:31.675,91.675,,,,,,,,,,,,,,,,,,,,
