Timecode List:,00:01:17.644,00:01:29.990,00:04:11.919,00:04:22.262,00:04:40.948,00:04:49.957,00:10:04.505,00:12:38.258,00:13:36.783,00:13:51.965,00:14:03.010,00:14:12.352,00:14:21.862,00:14:34.141,00:14:42.616,00:14:52.326,00:15:01.568,00:15:14.748,00:17:04.858,00:20:37.638,00:26:19.012
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,
1,2697,00:01:29.990,89.99,7550,00:04:11.919,251.919,4853,00:02:41.929,161.929,,,,,,,,,,,,
2,7550,00:04:11.919,251.919,7860,00:04:22.262,262.262,310,00:00:10.344,10.344,,,,,,,,,,,,
3,7860,00:04:22.262,262.262,8420,00:04:40.948,280.948,560,00:00:18.685,18.685,,,,,,,,,,,,
4,8420,00:04:40.948,280.948,8690,00:04:49.957,289.957,270,00:00:09.009,9.009,,,,,,,,,,,,
5,8690,00:04:49.957,289.957,18117,00:10:04.505,604.505,9427,00:05:14.548,314.548,,,,,,,,,,,,
6,18117,00:10:04.505,604.505,22725,00:12:38.258,758.258,4608,00:02:33.754,153.754,,,,,,,,,,,,
7,22725,00:12:38.258,758.258,24479,00:13:36.783,816.783,1754,00:00:58.525,58.525,,,,,,,,,,,,
8,24479,00:13:36.783,816.783,24934,00:13:51.965,831.965,455,00:00:15.182,15.182,,,,,,,,,,,,
9,24934,00:13:51.965,831.965,25265,00:14:03.010,843.01,331,00:00:11.044,11.044,,,,,,,,,,,,
10,25265,00:14:03.010,843.01,25545,00:14:12.352,852.352,280,00:00:09.343,9.343,,,,,,,,,,,,
11,25545,00:14:12.352,852.352,25830,00:14:21.862,861.862,285,00:00:09.510,9.51,,,,,,,,,,,,
12,25830,00:14:21.862,861.862,26198,00:14:34.141,874.141,368,00:00:12.279,12.279,,,,,,,,,,,,
13,26198,00:14:34.141,874.141,26452,00:14:42.616,882.616,254,00:00:08.475,8.475,,,,,,,,,,,,
14,26452,00:14:42.616,882.616,26743,00:14:52.326,892.326,291,00:00:09.710,9.71,,,,,,,,,,,,
15,26743,00:14:52.326,892.326,27020,00:15:01.568,901.568,277,00:00:09.243,9.243,,,,,,,,,,,,
16,27020,00:15:01.568,901.568,27415,00:15:14.748,914.748,395,00:00:13.180,13.18,,,,,,,,,,,,
17,27415,00:15:14.748,914.748,30715,00:17:04.858,1024.858,3300,00:01:50.110,110.11,,,,,,,,,,,,
18,30715,00:17:04.858,1024.858,37092,00:20:37.638,1237.638,6377,00:03:32.779,212.779,,,,,,,,,,,,
19,37092,00:20:37.638,1237.638,47323,00:26:19.012,1579.012,10231,00:05:41.375,341.375,,,,,,,,,,,,
