Timecode List:,00:00:00.567,00:00:28.228,00:00:28.595,00:01:08.001,00:01:20.347,00:01:24.518,00:01:28.689,00:01:40.634,00:03:20.634,00:04:34.107,00:04:47.120,00:04:57.764,00:05:01.635,00:07:31.151,00:07:44.798,00:08:08.422,00:08:17.664,00:08:26.340,00:08:37.484,00:08:51.932,00:10:31.131,00:10:49.183,00:11:17.377,00:11:44.738,00:11:53.180,00:12:07.194,00:12:20.674,00:12:58.445,00:12:59.780,00:13:15.896,00:13:26.106,00:13:51.999,00:14:02.342,00:14:16.523,00:14:35.809,00:14:44.685,00:16:22.015,00:19:57.297,00:19:57.497,00:20:10.110,00:20:27.094,00:20:52.986,00:20:59.793,00:21:15.876,00:21:24.051,00:21:53.914,00:22:06.293,00:22:47.301,00:22:47.501,00:23:51.231,00:25:22.689,00:26:18.245,00:26:18.879
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2533,00:01:24.518,84.518,2658,00:01:28.689,88.689,125,00:00:04.171,4.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2658,00:01:28.689,88.689,3016,00:01:40.634,100.634,358,00:00:11.945,11.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3016,00:01:40.634,100.634,6013,00:03:20.634,200.634,2997,00:01:40.000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6013,00:03:20.634,200.634,8215,00:04:34.107,274.107,2202,00:01:13.473,73.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8215,00:04:34.107,274.107,8605,00:04:47.120,287.12,390,00:00:13.013,13.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8605,00:04:47.120,287.12,8924,00:04:57.764,297.764,319,00:00:10.644,10.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8924,00:04:57.764,297.764,9040,00:05:01.635,301.635,116,00:00:03.871,3.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9040,00:05:01.635,301.635,13521,00:07:31.151,451.151,4481,00:02:29.516,149.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13521,00:07:31.151,451.151,13930,00:07:44.798,464.798,409,00:00:13.647,13.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13930,00:07:44.798,464.798,14638,00:08:08.422,488.422,708,00:00:23.624,23.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14638,00:08:08.422,488.422,14915,00:08:17.664,497.664,277,00:00:09.243,9.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14915,00:08:17.664,497.664,15175,00:08:26.340,506.34,260,00:00:08.675,8.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15175,00:08:26.340,506.34,15509,00:08:37.484,517.484,334,00:00:11.144,11.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15509,00:08:37.484,517.484,15942,00:08:51.932,531.932,433,00:00:14.448,14.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15942,00:08:51.932,531.932,18915,00:10:31.131,631.131,2973,00:01:39.199,99.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,18915,00:10:31.131,631.131,19456,00:10:49.183,649.183,541,00:00:18.051,18.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
