Timecode List:,00:00:00.734,00:00:01.535,00:00:35.669,00:00:36.203,00:01:16.376,00:01:28.722,00:01:32.726,00:05:00.234,00:06:19.012,00:06:51.712,00:09:41.548,00:09:57.464,00:10:10.344,00:10:18.886,00:11:01.461,00:11:11.071,00:13:08.856,00:13:25.539,00:13:34.181,00:13:38.685,00:17:56.076,00:19:11.885,00:20:14.314,00:21:27.221,00:21:32.659,00:21:56.383,00:24:24.565,00:25:23.023,00:26:18.412,00:26:19.046
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,
1,2779,00:01:32.726,92.726,8998,00:05:00.234,300.234,6219,00:03:27.508,207.508,,,,,,,,,,,,,,,,,,,,,
2,8998,00:05:00.234,300.234,11359,00:06:19.012,379.012,2361,00:01:18.779,78.779,,,,,,,,,,,,,,,,,,,,,
3,11359,00:06:19.012,379.012,12339,00:06:51.712,411.712,980,00:00:32.699,32.699,,,,,,,,,,,,,,,,,,,,,
4,12339,00:06:51.712,411.712,17429,00:09:41.548,581.548,5090,00:02:49.837,169.837,,,,,,,,,,,,,,,,,,,,,
5,17429,00:09:41.548,581.548,17906,00:09:57.464,597.464,477,00:00:15.916,15.916,,,,,,,,,,,,,,,,,,,,,
6,17906,00:09:57.464,597.464,18292,00:10:10.344,610.344,386,00:00:12.880,12.88,,,,,,,,,,,,,,,,,,,,,
7,18292,00:10:10.344,610.344,18548,00:10:18.886,618.886,256,00:00:08.542,8.542,,,,,,,,,,,,,,,,,,,,,
8,18548,00:10:18.886,618.886,19824,00:11:01.461,661.461,1276,00:00:42.576,42.576,,,,,,,,,,,,,,,,,,,,,
9,19824,00:11:01.461,661.461,20112,00:11:11.071,671.071,288,00:00:09.610,9.61,,,,,,,,,,,,,,,,,,,,,
10,20112,00:11:11.071,671.071,23642,00:13:08.856,788.856,3530,00:01:57.784,117.784,,,,,,,,,,,,,,,,,,,,,
11,23642,00:13:08.856,788.856,24142,00:13:25.539,805.539,500,00:00:16.683,16.683,,,,,,,,,,,,,,,,,,,,,
12,24142,00:13:25.539,805.539,24401,00:13:34.181,814.181,259,00:00:08.642,8.642,,,,,,,,,,,,,,,,,,,,,
13,24401,00:13:34.181,814.181,24536,00:13:38.685,818.685,135,00:00:04.505,4.505,,,,,,,,,,,,,,,,,,,,,
14,24536,00:13:38.685,818.685,32250,00:17:56.076,1076.076,7714,00:04:17.391,257.391,,,,,,,,,,,,,,,,,,,,,
15,32250,00:17:56.076,1076.076,34522,00:19:11.885,1151.885,2272,00:01:15.809,75.809,,,,,,,,,,,,,,,,,,,,,
16,34522,00:19:11.885,1151.885,36393,00:20:14.314,1214.314,1871,00:01:02.429,62.429,,,,,,,,,,,,,,,,,,,,,
17,36393,00:20:14.314,1214.314,38578,00:21:27.221,1287.221,2185,00:01:12.906,72.906,,,,,,,,,,,,,,,,,,,,,
18,38578,00:21:27.221,1287.221,38741,00:21:32.659,1292.659,163,00:00:05.439,5.439,,,,,,,,,,,,,,,,,,,,,
19,38741,00:21:32.659,1292.659,39452,00:21:56.383,1316.383,711,00:00:23.724,23.724,,,,,,,,,,,,,,,,,,,,,
20,39452,00:21:56.383,1316.383,43893,00:24:24.565,1464.565,4441,00:02:28.182,148.182,,,,,,,,,,,,,,,,,,,,,
21,43893,00:24:24.565,1464.565,45645,00:25:23.023,1523.023,1752,00:00:58.458,58.458,,,,,,,,,,,,,,,,,,,,,
