Timecode List:,00:00:00.501,00:01:21.123,00:01:22.124,00:02:01.205,00:02:13.550,00:02:17.971,00:04:31.188,00:04:31.480,00:07:16.645,00:07:23.819,00:08:43.065,00:10:02.936,00:10:48.190,00:11:00.160,00:11:00.536,00:12:40.093,00:14:25.073,00:14:25.365,00:14:49.723,00:15:31.890,00:16:04.464,00:16:52.179,00:17:48.151,00:17:48.694,00:18:20.475,00:18:54.593,00:18:54.801,00:19:32.589,00:20:49.666,00:21:05.265,00:24:30.262,00:25:22.981,00:26:18.287,00:26:18.871
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,
1,3308,00:02:17.971,137.971,6502,00:04:31.188,271.188,3194,00:02:13.217,133.217,,,,,,,,,,,,,,,,,,,,,,,,,
2,6509,00:04:31.480,271.48,10469,00:07:16.645,436.645,3960,00:02:45.165,165.165,,,,,,,,,,,,,,,,,,,,,,,,,
3,10469,00:07:16.645,436.645,10641,00:07:23.819,443.819,172,00:00:07.174,7.174,,,,,,,,,,,,,,,,,,,,,,,,,
4,10641,00:07:23.819,443.819,12541,00:08:43.065,523.065,1900,00:01:19.246,79.246,,,,,,,,,,,,,,,,,,,,,,,,,
5,12541,00:08:43.065,523.065,14456,00:10:02.936,602.936,1915,00:01:19.872,79.872,,,,,,,,,,,,,,,,,,,,,,,,,
6,14456,00:10:02.936,602.936,15541,00:10:48.190,648.19,1085,00:00:45.254,45.254,,,,,,,,,,,,,,,,,,,,,,,,,
7,15541,00:10:48.190,648.19,15828,00:11:00.160,660.16,287,00:00:11.970,11.97,,,,,,,,,,,,,,,,,,,,,,,,,
8,15837,00:11:00.536,660.536,18224,00:12:40.093,760.093,2387,00:01:39.558,99.558,,,,,,,,,,,,,,,,,,,,,,,,,
9,18224,00:12:40.093,760.093,20741,00:14:25.073,865.073,2517,00:01:44.980,104.98,,,,,,,,,,,,,,,,,,,,,,,,,
10,20748,00:14:25.365,865.365,21332,00:14:49.723,889.723,584,00:00:24.358,24.358,,,,,,,,,,,,,,,,,,,,,,,,,
11,21332,00:14:49.723,889.723,22343,00:15:31.890,931.89,1011,00:00:42.167,42.167,,,,,,,,,,,,,,,,,,,,,,,,,
12,22343,00:15:31.890,931.89,23124,00:16:04.464,964.464,781,00:00:32.574,32.574,,,,,,,,,,,,,,,,,,,,,,,,,
13,23124,00:16:04.464,964.464,24268,00:16:52.179,1012.179,1144,00:00:47.714,47.714,,,,,,,,,,,,,,,,,,,,,,,,,
14,24268,00:16:52.179,1012.179,25610,00:17:48.151,1068.151,1342,00:00:55.973,55.973,,,,,,,,,,,,,,,,,,,,,,,,,
15,25623,00:17:48.694,1068.694,26385,00:18:20.475,1100.475,762,00:00:31.782,31.782,,,,,,,,,,,,,,,,,,,,,,,,,
16,26385,00:18:20.475,1100.475,27203,00:18:54.593,1134.593,818,00:00:34.117,34.117,,,,,,,,,,,,,,,,,,,,,,,,,
17,27208,00:18:54.801,1134.801,28114,00:19:32.589,1172.589,906,00:00:37.788,37.788,,,,,,,,,,,,,,,,,,,,,,,,,
18,28114,00:19:32.589,1172.589,29962,00:20:49.666,1249.666,1848,00:01:17.077,77.077,,,,,,,,,,,,,,,,,,,,,,,,,
19,29962,00:20:49.666,1249.666,30336,00:21:05.265,1265.265,374,00:00:15.599,15.599,,,,,,,,,,,,,,,,,,,,,,,,,
20,30336,00:21:05.265,1265.265,35251,00:24:30.262,1470.262,4915,00:03:24.997,204.997,,,,,,,,,,,,,,,,,,,,,,,,,
21,35251,00:24:30.262,1470.262,36515,00:25:22.981,1522.981,1264,00:00:52.719,52.719,,,,,,,,,,,,,,,,,,,,,,,,,
