Timecode List:,00:00:32.241,00:00:32.824,00:01:11.905,00:01:24.251,00:01:27.921,00:04:50.123,00:04:50.374,00:05:45.137,00:05:45.220,00:06:24.176,00:06:24.259,00:08:36.475,00:08:48.779,00:09:05.879,00:09:18.725,00:09:19.309,00:10:06.857,00:10:07.107,00:11:18.178,00:11:18.554,00:13:08.330,00:13:23.178,00:15:32.683,00:16:21.732,00:17:29.466,00:22:09.454,00:25:01.001,00:25:14.223,00:25:20.020,00:26:15.117,00:26:15.367
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,
1,2108,00:01:27.921,87.921,6956,00:04:50.123,290.123,4848,00:03:22.202,202.202,,,,,,,,,,,,,,,,,,,,,,
2,6962,00:04:50.374,290.374,8275,00:05:45.137,345.137,1313,00:00:54.763,54.763,,,,,,,,,,,,,,,,,,,,,,
3,8277,00:05:45.220,345.22,9211,00:06:24.176,384.176,934,00:00:38.956,38.956,,,,,,,,,,,,,,,,,,,,,,
4,9213,00:06:24.259,384.259,12383,00:08:36.475,516.475,3170,00:02:12.216,132.216,,,,,,,,,,,,,,,,,,,,,,
5,12383,00:08:36.475,516.475,12678,00:08:48.779,528.779,295,00:00:12.304,12.304,,,,,,,,,,,,,,,,,,,,,,
6,12678,00:08:48.779,528.779,13088,00:09:05.879,545.879,410,00:00:17.100,17.1,,,,,,,,,,,,,,,,,,,,,,
7,13088,00:09:05.879,545.879,13396,00:09:18.725,558.725,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,
8,13410,00:09:19.309,559.309,14550,00:10:06.857,606.857,1140,00:00:47.548,47.548,,,,,,,,,,,,,,,,,,,,,,
9,14556,00:10:07.107,607.107,16260,00:11:18.178,678.178,1704,00:01:11.071,71.071,,,,,,,,,,,,,,,,,,,,,,
10,16269,00:11:18.554,678.554,18901,00:13:08.330,788.33,2632,00:01:49.776,109.776,,,,,,,,,,,,,,,,,,,,,,
11,18901,00:13:08.330,788.33,19257,00:13:23.178,803.178,356,00:00:14.848,14.848,,,,,,,,,,,,,,,,,,,,,,
12,19257,00:13:23.178,803.178,22362,00:15:32.683,932.683,3105,00:02:09.505,129.505,,,,,,,,,,,,,,,,,,,,,,
13,22362,00:15:32.683,932.683,23538,00:16:21.732,981.732,1176,00:00:49.049,49.049,,,,,,,,,,,,,,,,,,,,,,
14,23538,00:16:21.732,981.732,25162,00:17:29.466,1049.466,1624,00:01:07.734,67.734,,,,,,,,,,,,,,,,,,,,,,
15,25162,00:17:29.466,1049.466,31875,00:22:09.454,1329.454,6713,00:04:39.988,279.988,,,,,,,,,,,,,,,,,,,,,,
16,31875,00:22:09.454,1329.454,35988,00:25:01.001,1501.001,4113,00:02:51.547,171.547,,,,,,,,,,,,,,,,,,,,,,
17,35988,00:25:01.001,1501.001,36305,00:25:14.223,1514.223,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,
18,36305,00:25:14.223,1514.223,36444,00:25:20.020,1520.02,139,00:00:05.797,5.797,,,,,,,,,,,,,,,,,,,,,,
