Timecode List:,00:00:08.800,00:00:22.898,00:00:40.290,00:00:41.250,00:01:34.803,00:01:39.099,00:01:56.074,00:08:20.209,00:09:36.577,00:09:59.349,00:11:58.760,00:12:50.687,00:13:03.534,00:13:23.345,00:13:36.233,00:13:56.211,00:14:09.600,00:14:48.472,00:15:42.526,00:16:01.587,00:16:03.172,00:19:19.785,00:19:36.343,00:20:19.136,00:20:19.595,00:20:59.593,00:21:52.145,00:22:18.589,00:23:48.762,00:24:01.275,00:25:20.103,00:25:56.265,00:26:10.195,00:26:11.196,00:27:08.504,00:27:09.296
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2376,00:01:39.099,99.099,2783,00:01:56.074,116.074,407,00:00:16.975,16.975,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2783,00:01:56.074,116.074,11993,00:08:20.209,500.209,9210,00:06:24.134,384.134,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11993,00:08:20.209,500.209,13824,00:09:36.577,576.577,1831,00:01:16.368,76.368,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13824,00:09:36.577,576.577,14370,00:09:59.349,599.349,546,00:00:22.773,22.773,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14370,00:09:59.349,599.349,17233,00:11:58.760,718.76,2863,00:01:59.411,119.411,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17233,00:11:58.760,718.76,18478,00:12:50.687,770.687,1245,00:00:51.927,51.927,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18478,00:12:50.687,770.687,18786,00:13:03.534,783.534,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18786,00:13:03.534,783.534,19261,00:13:23.345,803.345,475,00:00:19.811,19.811,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19261,00:13:23.345,803.345,19570,00:13:36.233,816.233,309,00:00:12.888,12.888,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19570,00:13:36.233,816.233,20049,00:13:56.211,836.211,479,00:00:19.978,19.978,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20049,00:13:56.211,836.211,20370,00:14:09.600,849.6,321,00:00:13.388,13.388,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20370,00:14:09.600,849.6,21302,00:14:48.472,888.472,932,00:00:38.872,38.872,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21302,00:14:48.472,888.472,22598,00:15:42.526,942.526,1296,00:00:54.054,54.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22598,00:15:42.526,942.526,23055,00:16:01.587,961.587,457,00:00:19.061,19.061,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23093,00:16:03.172,963.172,27807,00:19:19.785,1159.785,4714,00:03:16.613,196.613,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,27807,00:19:19.785,1159.785,28204,00:19:36.343,1176.343,397,00:00:16.558,16.558,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28204,00:19:36.343,1176.343,29230,00:20:19.136,1219.136,1026,00:00:42.793,42.793,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29241,00:20:19.595,1219.595,30200,00:20:59.593,1259.593,959,00:00:39.998,39.998,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30200,00:20:59.593,1259.593,31460,00:21:52.145,1312.145,1260,00:00:52.553,52.553,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,31460,00:21:52.145,1312.145,32094,00:22:18.589,1338.589,634,00:00:26.443,26.443,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,32094,00:22:18.589,1338.589,34256,00:23:48.762,1428.762,2162,00:01:30.174,90.174,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,34256,00:23:48.762,1428.762,34556,00:24:01.275,1441.275,300,00:00:12.513,12.513,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,34556,00:24:01.275,1441.275,36446,00:25:20.103,1520.103,1890,00:01:18.829,78.829,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,36446,00:25:20.103,1520.103,37313,00:25:56.265,1556.265,867,00:00:36.161,36.161,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,37313,00:25:56.265,1556.265,37647,00:26:10.195,1570.195,334,00:00:13.931,13.931,,,,,,,,,,,,,,,,,,,,,,,,,,,
