Timecode List:,00:00:00.083,00:00:29.029,00:01:10.571,00:01:23.417,00:01:27.504,00:02:32.945,00:02:57.511,00:03:15.654,00:03:34.798,00:04:06.997,00:04:57.339,00:05:19.820,00:05:39.965,00:06:15.375,00:07:36.915,00:09:28.402,00:09:30.195,00:09:46.128,00:10:01.351,00:10:17.242,00:10:32.466,00:10:57.824,00:11:18.679,00:11:31.733,00:11:32.359,00:12:39.426,00:14:10.434,00:14:30.204,00:14:41.089,00:15:17.960,00:15:24.883,00:15:40.858,00:15:56.874,00:18:13.468,00:20:30.439,00:21:39.258,00:22:43.238,00:22:56.001,00:23:31.787,00:23:55.227,00:24:20.377,00:24:37.895,00:24:43.192,00:25:16.141,00:25:31.114,00:25:44.878,00:25:57.474,00:26:07.234,00:27:04.625,00:27:05.292
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2098,00:01:27.504,87.504,3667,00:02:32.945,152.945,1569,00:01:05.440,65.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3667,00:02:32.945,152.945,4256,00:02:57.511,177.511,589,00:00:24.566,24.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4256,00:02:57.511,177.511,4691,00:03:15.654,195.654,435,00:00:18.143,18.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4691,00:03:15.654,195.654,5150,00:03:34.798,214.798,459,00:00:19.144,19.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5150,00:03:34.798,214.798,5922,00:04:06.997,246.997,772,00:00:32.199,32.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5922,00:04:06.997,246.997,7129,00:04:57.339,297.339,1207,00:00:50.342,50.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7129,00:04:57.339,297.339,7668,00:05:19.820,319.82,539,00:00:22.481,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7668,00:05:19.820,319.82,8151,00:05:39.965,339.965,483,00:00:20.145,20.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8151,00:05:39.965,339.965,9000,00:06:15.375,375.375,849,00:00:35.410,35.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
