Timecode List:,00:00:00.501,00:00:29.321,00:00:30.239,00:01:21.707,00:01:25.752,00:02:06.877,00:02:31.568,00:02:48.460,00:03:09.648,00:04:39.530,00:05:12.312,00:05:12.688,00:05:25.450,00:06:12.372,00:07:04.091,00:07:17.646,00:09:26.692,00:09:27.150,00:10:24.166,00:11:00.077,00:14:06.847,00:14:27.743,00:14:39.671,00:14:56.021,00:15:39.857,00:16:54.765,00:17:15.994,00:17:42.688,00:18:01.081,00:18:02.082,00:19:35.008,00:19:52.860,00:20:07.916,00:20:08.375,00:23:35.415,00:24:01.233,00:24:14.496,00:24:27.426,00:25:05.797,00:25:06.590,00:26:01.478,00:26:02.104
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2056,00:01:25.752,85.752,3042,00:02:06.877,126.877,986,00:00:41.124,41.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3042,00:02:06.877,126.877,3634,00:02:31.568,151.568,592,00:00:24.691,24.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3634,00:02:31.568,151.568,4039,00:02:48.460,168.46,405,00:00:16.892,16.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4039,00:02:48.460,168.46,4547,00:03:09.648,189.648,508,00:00:21.188,21.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4547,00:03:09.648,189.648,6702,00:04:39.530,279.53,2155,00:01:29.882,89.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6702,00:04:39.530,279.53,7488,00:05:12.312,312.312,786,00:00:32.783,32.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7497,00:05:12.688,312.688,7803,00:05:25.450,325.45,306,00:00:12.763,12.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7803,00:05:25.450,325.45,8928,00:06:12.372,372.372,1125,00:00:46.922,46.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8928,00:06:12.372,372.372,10168,00:07:04.091,424.091,1240,00:00:51.718,51.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10168,00:07:04.091,424.091,10493,00:07:17.646,437.646,325,00:00:13.555,13.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10493,00:07:17.646,437.646,13587,00:09:26.692,566.692,3094,00:02:09.046,129.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13598,00:09:27.150,567.15,14965,00:10:24.166,624.166,1367,00:00:57.015,57.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14965,00:10:24.166,624.166,15826,00:11:00.077,660.077,861,00:00:35.911,35.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15826,00:11:00.077,660.077,20304,00:14:06.847,846.847,4478,00:03:06.770,186.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20304,00:14:06.847,846.847,20805,00:14:27.743,867.743,501,00:00:20.896,20.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20805,00:14:27.743,867.743,21091,00:14:39.671,879.671,286,00:00:11.929,11.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21091,00:14:39.671,879.671,21483,00:14:56.021,896.021,392,00:00:16.350,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
