Timecode List:,00:00:05.214,00:00:33.617,00:00:47.673,00:00:48.382,00:01:13.782,00:01:29.131,00:01:42.019,00:01:45.814,00:04:06.872,00:04:23.514,00:04:45.452,00:07:29.116,00:07:58.645,00:08:38.435,00:08:41.730,00:09:37.160,00:11:04.289,00:12:33.420,00:14:53.602,00:14:54.353,00:16:32.075,00:18:25.063,00:19:05.812,00:19:09.566,00:19:32.047,00:20:05.706,00:20:29.396,00:21:09.186,00:22:21.133,00:26:07.192,00:26:07.985,00:27:04.625,00:27:05.125
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,
1,2537,00:01:45.814,105.814,5919,00:04:06.872,246.872,3382,00:02:21.058,141.058,,,,,,,,,,,,,,,,,,,,,,,,
2,5919,00:04:06.872,246.872,6318,00:04:23.514,263.514,399,00:00:16.642,16.642,,,,,,,,,,,,,,,,,,,,,,,,
3,6318,00:04:23.514,263.514,6844,00:04:45.452,285.452,526,00:00:21.939,21.939,,,,,,,,,,,,,,,,,,,,,,,,
4,6844,00:04:45.452,285.452,10768,00:07:29.116,449.116,3924,00:02:43.664,163.664,,,,,,,,,,,,,,,,,,,,,,,,
5,10768,00:07:29.116,449.116,11476,00:07:58.645,478.645,708,00:00:29.530,29.53,,,,,,,,,,,,,,,,,,,,,,,,
6,11476,00:07:58.645,478.645,12430,00:08:38.435,518.435,954,00:00:39.790,39.79,,,,,,,,,,,,,,,,,,,,,,,,
7,12430,00:08:38.435,518.435,12509,00:08:41.730,521.73,79,00:00:03.295,3.295,,,,,,,,,,,,,,,,,,,,,,,,
8,12509,00:08:41.730,521.73,13838,00:09:37.160,577.16,1329,00:00:55.430,55.43,,,,,,,,,,,,,,,,,,,,,,,,
9,13838,00:09:37.160,577.16,15927,00:11:04.289,664.289,2089,00:01:27.129,87.129,,,,,,,,,,,,,,,,,,,,,,,,
10,15927,00:11:04.289,664.289,18064,00:12:33.420,753.42,2137,00:01:29.131,89.131,,,,,,,,,,,,,,,,,,,,,,,,
11,18064,00:12:33.420,753.42,21425,00:14:53.602,893.602,3361,00:02:20.182,140.182,,,,,,,,,,,,,,,,,,,,,,,,
12,21443,00:14:54.353,894.353,23786,00:16:32.075,992.075,2343,00:01:37.723,97.723,,,,,,,,,,,,,,,,,,,,,,,,
13,23786,00:16:32.075,992.075,26495,00:18:25.063,1105.063,2709,00:01:52.988,112.988,,,,,,,,,,,,,,,,,,,,,,,,
14,26495,00:18:25.063,1105.063,27472,00:19:05.812,1145.812,977,00:00:40.749,40.749,,,,,,,,,,,,,,,,,,,,,,,,
15,27472,00:19:05.812,1145.812,27562,00:19:09.566,1149.566,90,00:00:03.754,3.754,,,,,,,,,,,,,,,,,,,,,,,,
16,27562,00:19:09.566,1149.566,28101,00:19:32.047,1172.047,539,00:00:22.481,22.481,,,,,,,,,,,,,,,,,,,,,,,,
17,28101,00:19:32.047,1172.047,28908,00:20:05.706,1205.706,807,00:00:33.659,33.659,,,,,,,,,,,,,,,,,,,,,,,,
18,28908,00:20:05.706,1205.706,29476,00:20:29.396,1229.396,568,00:00:23.690,23.69,,,,,,,,,,,,,,,,,,,,,,,,
19,29476,00:20:29.396,1229.396,30430,00:21:09.186,1269.186,954,00:00:39.790,39.79,,,,,,,,,,,,,,,,,,,,,,,,
20,30430,00:21:09.186,1269.186,32155,00:22:21.133,1341.133,1725,00:01:11.947,71.947,,,,,,,,,,,,,,,,,,,,,,,,
21,32155,00:22:21.133,1341.133,37575,00:26:07.192,1567.192,5420,00:03:46.059,226.059,,,,,,,,,,,,,,,,,,,,,,,,
