Timecode List:,00:00:11.512,00:00:36.411,00:00:37.746,00:01:18.453,00:01:31.341,00:01:35.554,00:01:48.192,00:02:31.068,00:02:55.926,00:03:28.250,00:03:50.731,00:04:24.014,00:04:38.153,00:04:51.416,00:05:04.638,00:05:18.277,00:05:43.468,00:05:58.567,00:06:48.951,00:07:02.506,00:07:19.731,00:07:45.090,00:07:57.769,00:08:23.504,00:08:37.142,00:08:55.744,00:09:01.083,00:11:10.963,00:12:11.565,00:13:02.157,00:13:24.763,00:13:49.538,00:13:54.293,00:14:19.943,00:14:35.375,00:14:54.228,00:15:13.288,00:15:20.420,00:15:58.208,00:16:41.335,00:16:57.351,00:17:12.533,00:17:21.083,00:18:00.539,00:19:44.393,00:20:12.254,00:20:28.937,00:20:42.117,00:21:14.274,00:21:27.913,00:22:08.495,00:22:09.162,00:22:43.155,00:23:12.559,00:23:27.199,00:23:27.574,00:23:40.254,00:24:27.009,00:25:07.633,00:25:48.632,00:26:06.441,00:26:07.067,00:27:04.208,00:27:04.875
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2291,00:01:35.554,95.554,2594,00:01:48.192,108.192,303,00:00:12.638,12.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2594,00:01:48.192,108.192,3622,00:02:31.068,151.068,1028,00:00:42.876,42.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3622,00:02:31.068,151.068,4218,00:02:55.926,175.926,596,00:00:24.858,24.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4218,00:02:55.926,175.926,4993,00:03:28.250,208.25,775,00:00:32.324,32.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4993,00:03:28.250,208.25,5532,00:03:50.731,230.731,539,00:00:22.481,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5532,00:03:50.731,230.731,6330,00:04:24.014,264.014,798,00:00:33.283,33.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6330,00:04:24.014,264.014,6669,00:04:38.153,278.153,339,00:00:14.139,14.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6669,00:04:38.153,278.153,6987,00:04:51.416,291.416,318,00:00:13.263,13.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6987,00:04:51.416,291.416,7304,00:05:04.638,304.638,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7304,00:05:04.638,304.638,7631,00:05:18.277,318.277,327,00:00:13.639,13.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
