Timecode List:,00:00:56.640,00:00:57.057,00:01:50.736,00:01:56.074,00:02:39.952,00:03:42.264,00:04:25.766,00:04:44.952,00:05:03.053,00:05:23.991,00:05:37.462,00:06:21.507,00:06:41.818,00:06:59.920,00:07:12.766,00:07:39.376,00:08:07.362,00:08:34.973,00:08:52.533,00:09:09.174,00:09:26.191,00:09:55.679,00:10:02.603,00:10:14.948,00:12:41.845,00:13:04.910,00:13:17.631,00:13:28.517,00:14:35.792,00:16:23.525,00:17:39.810,00:19:04.186,00:19:18.825,00:21:30.415,00:21:38.006,00:22:06.535,00:22:42.529,00:23:03.842,00:24:22.754,00:24:39.980,00:26:00.310,00:26:10.445,00:27:07.628,00:27:08.003
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2783,00:01:56.074,116.074,3835,00:02:39.952,159.952,1052,00:00:43.877,43.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3835,00:02:39.952,159.952,5329,00:03:42.264,222.264,1494,00:01:02.312,62.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5329,00:03:42.264,222.264,6372,00:04:25.766,265.766,1043,00:00:43.502,43.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6372,00:04:25.766,265.766,6832,00:04:44.952,284.952,460,00:00:19.186,19.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6832,00:04:44.952,284.952,7266,00:05:03.053,303.053,434,00:00:18.101,18.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7266,00:05:03.053,303.053,7768,00:05:23.991,323.991,502,00:00:20.938,20.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7768,00:05:23.991,323.991,8091,00:05:37.462,337.462,323,00:00:13.472,13.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8091,00:05:37.462,337.462,9147,00:06:21.507,381.507,1056,00:00:44.044,44.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9147,00:06:21.507,381.507,9634,00:06:41.818,401.818,487,00:00:20.312,20.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9634,00:06:41.818,401.818,10068,00:06:59.920,419.92,434,00:00:18.101,18.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10068,00:06:59.920,419.92,10376,00:07:12.766,432.766,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10376,00:07:12.766,432.766,11014,00:07:39.376,459.376,638,00:00:26.610,26.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11014,00:07:39.376,459.376,11685,00:08:07.362,487.362,671,00:00:27.986,27.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11685,00:08:07.362,487.362,12347,00:08:34.973,514.973,662,00:00:27.611,27.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12347,00:08:34.973,514.973,12768,00:08:52.533,532.533,421,00:00:17.559,17.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12768,00:08:52.533,532.533,13167,00:09:09.174,549.174,399,00:00:16.642,16.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13167,00:09:09.174,549.174,13575,00:09:26.191,566.191,408,00:00:17.017,17.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13575,00:09:26.191,566.191,14282,00:09:55.679,595.679,707,00:00:29.488,29.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,14282,00:09:55.679,595.679,14448,00:10:02.603,602.603,166,00:00:06.924,6.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14448,00:10:02.603,602.603,14744,00:10:14.948,614.948,296,00:00:12.346,12.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14744,00:10:14.948,614.948,18266,00:12:41.845,761.845,3522,00:02:26.897,146.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,18266,00:12:41.845,761.845,18819,00:13:04.910,784.91,553,00:00:23.065,23.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18819,00:13:04.910,784.91,19124,00:13:17.631,797.631,305,00:00:12.721,12.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,19124,00:13:17.631,797.631,19385,00:13:28.517,808.517,261,00:00:10.886,10.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,19385,00:13:28.517,808.517,20998,00:14:35.792,875.792,1613,00:01:07.276,67.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20998,00:14:35.792,875.792,23581,00:16:23.525,983.525,2583,00:01:47.733,107.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23581,00:16:23.525,983.525,25410,00:17:39.810,1059.81,1829,00:01:16.285,76.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25410,00:17:39.810,1059.81,27433,00:19:04.186,1144.186,2023,00:01:24.376,84.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,27433,00:19:04.186,1144.186,27784,00:19:18.825,1158.825,351,00:00:14.640,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,27784,00:19:18.825,1158.825,30939,00:21:30.415,1290.415,3155,00:02:11.590,131.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,30939,00:21:30.415,1290.415,31121,00:21:38.006,1298.006,182,00:00:07.591,7.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,31121,00:21:38.006,1298.006,31805,00:22:06.535,1326.535,684,00:00:28.529,28.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,31805,00:22:06.535,1326.535,32668,00:22:42.529,1362.529,863,00:00:35.994,35.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,32668,00:22:42.529,1362.529,33179,00:23:03.842,1383.842,511,00:00:21.313,21.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,33179,00:23:03.842,1383.842,35071,00:24:22.754,1462.754,1892,00:01:18.912,78.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35071,00:24:22.754,1462.754,35484,00:24:39.980,1479.98,413,00:00:17.226,17.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35484,00:24:39.980,1479.98,37410,00:26:00.310,1560.31,1926,00:01:20.330,80.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,37410,00:26:00.310,1560.31,37653,00:26:10.445,1570.445,243,00:00:10.135,10.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
