Timecode List:,00:00:05.255,00:00:28.695,00:00:29.279,00:00:54.596,00:01:22.833,00:01:26.670,00:03:22.244,00:04:32.481,00:04:36.693,00:04:51.166,00:10:51.652,00:10:52.236,00:11:47.916,00:12:03.056,00:13:29.810,00:13:58.213,00:14:15.480,00:14:31.246,00:14:48.514,00:15:13.539,00:15:33.433,00:15:34.393,00:16:09.970,00:16:10.095,00:16:41.210,00:16:41.877,00:17:08.862,00:17:50.571,00:17:51.238,00:19:59.157,00:20:15.507,00:20:36.695,00:21:52.312,00:23:14.561,00:23:14.811,00:23:38.377,00:23:38.627,00:25:14.973,00:26:06.149,00:27:04.041,00:27:04.708
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2078,00:01:26.670,86.67,4849,00:03:22.244,202.244,2771,00:01:55.574,115.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4849,00:03:22.244,202.244,6533,00:04:32.481,272.481,1684,00:01:10.237,70.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6533,00:04:32.481,272.481,6634,00:04:36.693,276.693,101,00:00:04.213,4.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6634,00:04:36.693,276.693,6981,00:04:51.166,291.166,347,00:00:14.473,14.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6981,00:04:51.166,291.166,15624,00:10:51.652,651.652,8643,00:06:00.485,360.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15638,00:10:52.236,652.236,16973,00:11:47.916,707.916,1335,00:00:55.681,55.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16973,00:11:47.916,707.916,17336,00:12:03.056,723.056,363,00:00:15.140,15.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17336,00:12:03.056,723.056,19416,00:13:29.810,809.81,2080,00:01:26.753,86.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19416,00:13:29.810,809.81,20097,00:13:58.213,838.213,681,00:00:28.403,28.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20097,00:13:58.213,838.213,20511,00:14:15.480,855.48,414,00:00:17.267,17.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20511,00:14:15.480,855.48,20889,00:14:31.246,871.246,378,00:00:15.766,15.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20889,00:14:31.246,871.246,21303,00:14:48.514,888.514,414,00:00:17.267,17.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21303,00:14:48.514,888.514,21903,00:15:13.539,913.539,600,00:00:25.025,25.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21903,00:15:13.539,913.539,22380,00:15:33.433,933.433,477,00:00:19.895,19.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22403,00:15:34.393,934.393,23256,00:16:09.970,969.97,853,00:00:35.577,35.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,23259,00:16:10.095,970.095,24005,00:16:41.210,1001.21,746,00:00:31.114,31.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24021,00:16:41.877,1001.877,24668,00:17:08.862,1028.862,647,00:00:26.985,26.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24668,00:17:08.862,1028.862,25668,00:17:50.571,1070.571,1000,00:00:41.708,41.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25684,00:17:51.238,1071.238,28751,00:19:59.157,1199.157,3067,00:02:07.920,127.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28751,00:19:59.157,1199.157,29143,00:20:15.507,1215.507,392,00:00:16.350,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29143,00:20:15.507,1215.507,29651,00:20:36.695,1236.695,508,00:00:21.188,21.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29651,00:20:36.695,1236.695,31464,00:21:52.312,1312.312,1813,00:01:15.617,75.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,31464,00:21:52.312,1312.312,33436,00:23:14.561,1394.561,1972,00:01:22.249,82.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,33442,00:23:14.811,1394.811,34007,00:23:38.377,1418.377,565,00:00:23.565,23.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,34013,00:23:38.627,1418.627,36323,00:25:14.973,1514.973,2310,00:01:36.346,96.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,36323,00:25:14.973,1514.973,37550,00:26:06.149,1566.149,1227,00:00:51.176,51.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
