Timecode List:,00:00:00.542,00:00:01.084,00:00:34.493,00:01:01.228,00:01:02.104,00:01:41.185,00:01:56.825,00:01:57.492,00:03:19.366,00:05:19.444,00:05:53.395,00:10:27.252,00:13:02.032,00:14:42.925,00:14:43.592,00:14:59.441,00:15:17.543,00:15:31.807,00:15:44.486,00:16:12.014,00:16:26.028,00:16:47.382,00:17:05.067,00:17:30.425,00:17:44.022,00:18:05.502,00:18:25.272,00:19:22.579,00:20:07.416,00:20:07.749,00:20:28.729,00:20:42.910,00:22:01.530,00:22:35.230,00:23:08.889,00:23:34.998,00:23:35.249,00:23:51.723,00:23:52.140,00:25:04.796,00:25:05.672,00:26:00.018,00:26:00.519
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2817,00:01:57.492,117.492,4780,00:03:19.366,199.366,1963,00:01:21.874,81.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4780,00:03:19.366,199.366,7659,00:05:19.444,319.444,2879,00:02:00.078,120.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7659,00:05:19.444,319.444,8473,00:05:53.395,353.395,814,00:00:33.951,33.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8473,00:05:53.395,353.395,15039,00:10:27.252,627.252,6566,00:04:33.857,273.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15039,00:10:27.252,627.252,18750,00:13:02.032,782.032,3711,00:02:34.780,154.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18750,00:13:02.032,782.032,21169,00:14:42.925,882.925,2419,00:01:40.893,100.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,21185,00:14:43.592,883.592,21565,00:14:59.441,899.441,380,00:00:15.849,15.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,21565,00:14:59.441,899.441,21999,00:15:17.543,917.543,434,00:00:18.101,18.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21999,00:15:17.543,917.543,22341,00:15:31.807,931.807,342,00:00:14.264,14.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22341,00:15:31.807,931.807,22645,00:15:44.486,944.486,304,00:00:12.679,12.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22645,00:15:44.486,944.486,23305,00:16:12.014,972.014,660,00:00:27.528,27.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23305,00:16:12.014,972.014,23641,00:16:26.028,986.028,336,00:00:14.014,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23641,00:16:26.028,986.028,24153,00:16:47.382,1007.382,512,00:00:21.355,21.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,24153,00:16:47.382,1007.382,24577,00:17:05.067,1025.067,424,00:00:17.684,17.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24577,00:17:05.067,1025.067,25185,00:17:30.425,1050.425,608,00:00:25.359,25.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,25185,00:17:30.425,1050.425,25511,00:17:44.022,1064.022,326,00:00:13.597,13.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25511,00:17:44.022,1064.022,26026,00:18:05.502,1085.502,515,00:00:21.480,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,26026,00:18:05.502,1085.502,26500,00:18:25.272,1105.272,474,00:00:19.770,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,26500,00:18:25.272,1105.272,27874,00:19:22.579,1162.579,1374,00:00:57.307,57.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27874,00:19:22.579,1162.579,28949,00:20:07.416,1207.416,1075,00:00:44.837,44.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28957,00:20:07.749,1207.749,29460,00:20:28.729,1228.729,503,00:00:20.979,20.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29460,00:20:28.729,1228.729,29800,00:20:42.910,1242.91,340,00:00:14.181,14.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,29800,00:20:42.910,1242.91,31685,00:22:01.530,1321.53,1885,00:01:18.620,78.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,31685,00:22:01.530,1321.53,32493,00:22:35.230,1355.23,808,00:00:33.700,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,32493,00:22:35.230,1355.23,33300,00:23:08.889,1388.889,807,00:00:33.659,33.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,33300,00:23:08.889,1388.889,33926,00:23:34.998,1414.998,626,00:00:26.109,26.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,33932,00:23:35.249,1415.249,34327,00:23:51.723,1431.723,395,00:00:16.475,16.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,34337,00:23:52.140,1432.14,36079,00:25:04.796,1504.796,1742,00:01:12.656,72.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
