Timecode List:,00:00:00.042,00:00:00.083,00:00:35.244,00:00:35.786,00:01:27.254,00:01:31.508,00:03:17.906,00:05:40.924,00:06:14.374,00:06:26.887,00:07:32.411,00:07:46.925,00:08:15.495,00:11:03.288,00:11:45.873,00:14:18.650,00:14:59.816,00:17:30.425,00:17:36.181,00:18:10.382,00:18:10.549,00:19:59.032,00:20:16.383,00:21:50.477,00:22:06.451,00:23:01.089,00:23:36.291,00:23:54.393,00:25:05.964,00:25:06.548,00:26:00.769,00:26:01.395
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,
1,2194,00:01:31.508,91.508,4745,00:03:17.906,197.906,2551,00:01:46.398,106.398,,,,,,,,,,,,,,,,,,,,,,,
2,4745,00:03:17.906,197.906,8174,00:05:40.924,340.924,3429,00:02:23.018,143.018,,,,,,,,,,,,,,,,,,,,,,,
3,8174,00:05:40.924,340.924,8976,00:06:14.374,374.374,802,00:00:33.450,33.45,,,,,,,,,,,,,,,,,,,,,,,
4,8976,00:06:14.374,374.374,9276,00:06:26.887,386.887,300,00:00:12.513,12.513,,,,,,,,,,,,,,,,,,,,,,,
5,9276,00:06:26.887,386.887,10847,00:07:32.411,452.411,1571,00:01:05.524,65.524,,,,,,,,,,,,,,,,,,,,,,,
6,10847,00:07:32.411,452.411,11195,00:07:46.925,466.925,348,00:00:14.515,14.515,,,,,,,,,,,,,,,,,,,,,,,
7,11195,00:07:46.925,466.925,11880,00:08:15.495,495.495,685,00:00:28.570,28.57,,,,,,,,,,,,,,,,,,,,,,,
8,11880,00:08:15.495,495.495,15903,00:11:03.288,663.288,4023,00:02:47.793,167.793,,,,,,,,,,,,,,,,,,,,,,,
9,15903,00:11:03.288,663.288,16924,00:11:45.873,705.873,1021,00:00:42.584,42.584,,,,,,,,,,,,,,,,,,,,,,,
10,16924,00:11:45.873,705.873,20587,00:14:18.650,858.65,3663,00:02:32.778,152.778,,,,,,,,,,,,,,,,,,,,,,,
11,20587,00:14:18.650,858.65,21574,00:14:59.816,899.816,987,00:00:41.166,41.166,,,,,,,,,,,,,,,,,,,,,,,
12,21574,00:14:59.816,899.816,25185,00:17:30.425,1050.425,3611,00:02:30.609,150.609,,,,,,,,,,,,,,,,,,,,,,,
13,25185,00:17:30.425,1050.425,25323,00:17:36.181,1056.181,138,00:00:05.756,5.756,,,,,,,,,,,,,,,,,,,,,,,
14,25323,00:17:36.181,1056.181,26143,00:18:10.382,1090.382,820,00:00:34.201,34.201,,,,,,,,,,,,,,,,,,,,,,,
15,26147,00:18:10.549,1090.549,28748,00:19:59.032,1199.032,2601,00:01:48.483,108.483,,,,,,,,,,,,,,,,,,,,,,,
16,28748,00:19:59.032,1199.032,29164,00:20:16.383,1216.383,416,00:00:17.351,17.351,,,,,,,,,,,,,,,,,,,,,,,
17,29164,00:20:16.383,1216.383,31420,00:21:50.477,1310.477,2256,00:01:34.094,94.094,,,,,,,,,,,,,,,,,,,,,,,
18,31420,00:21:50.477,1310.477,31803,00:22:06.451,1326.451,383,00:00:15.974,15.974,,,,,,,,,,,,,,,,,,,,,,,
19,31803,00:22:06.451,1326.451,33113,00:23:01.089,1381.089,1310,00:00:54.638,54.638,,,,,,,,,,,,,,,,,,,,,,,
20,33113,00:23:01.089,1381.089,33957,00:23:36.291,1416.291,844,00:00:35.202,35.202,,,,,,,,,,,,,,,,,,,,,,,
21,33957,00:23:36.291,1416.291,34391,00:23:54.393,1434.393,434,00:00:18.101,18.101,,,,,,,,,,,,,,,,,,,,,,,
22,34391,00:23:54.393,1434.393,36107,00:25:05.964,1505.964,1716,00:01:11.572,71.572,,,,,,,,,,,,,,,,,,,,,,,
