Timecode List:,00:00:00.000,00:00:40.165,00:00:40.707,00:01:06.024,00:01:34.261,00:01:38.473,00:01:53.780,00:02:13.926,00:02:42.204,00:03:13.277,00:05:20.779,00:06:10.996,00:07:24.319,00:08:00.731,00:08:56.787,00:12:30.459,00:12:43.263,00:13:18.549,00:14:27.993,00:15:09.993,00:15:47.781,00:16:04.423,00:16:20.564,00:16:34.995,00:16:52.554,00:17:34.471,00:17:49.987,00:18:17.222,00:18:36.742,00:19:26.792,00:19:46.478,00:19:51.316,00:20:26.101,00:21:34.378,00:23:09.681,00:23:22.903,00:23:45.509,00:24:17.332,00:24:35.392,00:25:09.801,00:25:31.073,00:25:53.595,00:26:06.733,00:26:07.276,00:27:04.625,00:27:05.292
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2361,00:01:38.473,98.473,2728,00:01:53.780,113.78,367,00:00:15.307,15.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2728,00:01:53.780,113.78,3211,00:02:13.926,133.926,483,00:00:20.145,20.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3211,00:02:13.926,133.926,3889,00:02:42.204,162.204,678,00:00:28.278,28.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3889,00:02:42.204,162.204,4634,00:03:13.277,193.277,745,00:00:31.073,31.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4634,00:03:13.277,193.277,7691,00:05:20.779,320.779,3057,00:02:07.503,127.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7691,00:05:20.779,320.779,8895,00:06:10.996,370.996,1204,00:00:50.217,50.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8895,00:06:10.996,370.996,10653,00:07:24.319,444.319,1758,00:01:13.323,73.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10653,00:07:24.319,444.319,11526,00:08:00.731,480.731,873,00:00:36.411,36.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11526,00:08:00.731,480.731,12870,00:08:56.787,536.787,1344,00:00:56.056,56.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
