Timecode List:,00:00:28.904,00:00:35.827,00:01:02.312,00:01:17.661,00:01:30.549,00:01:34.469,00:01:52.988,00:02:28.440,00:02:45.249,00:02:45.707,00:03:45.934,00:03:46.435,00:04:01.783,00:04:20.010,00:06:57.417,00:06:58.252,00:08:07.112,00:08:14.036,00:08:28.383,00:09:17.766,00:09:30.404,00:09:30.946,00:09:49.214,00:10:03.562,00:10:19.119,00:11:04.831,00:11:22.891,00:11:32.234,00:12:03.557,00:12:03.974,00:12:16.904,00:12:30.167,00:12:55.108,00:13:20.175,00:13:49.913,00:13:51.665,00:14:47.554,00:14:48.013,00:15:17.125,00:15:23.549,00:15:59.585,00:16:43.128,00:20:01.869,00:20:15.757,00:20:16.216,00:20:48.749,00:21:10.020,00:21:10.354,00:22:37.941,00:22:38.358,00:23:26.198,00:23:40.087,00:24:01.900,00:24:38.103,00:24:42.274,00:24:56.496,00:25:16.767,00:25:32.407,00:26:04.356,00:26:07.526,00:27:05.542,00:27:06.335
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2265,00:01:34.469,94.469,2709,00:01:52.988,112.988,444,00:00:18.519,18.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2709,00:01:52.988,112.988,3559,00:02:28.440,148.44,850,00:00:35.452,35.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3559,00:02:28.440,148.44,3962,00:02:45.249,165.249,403,00:00:16.808,16.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3973,00:02:45.707,165.707,5417,00:03:45.934,225.934,1444,00:01:00.227,60.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5429,00:03:46.435,226.435,5797,00:04:01.783,241.783,368,00:00:15.349,15.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5797,00:04:01.783,241.783,6234,00:04:20.010,260.01,437,00:00:18.227,18.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6234,00:04:20.010,260.01,10008,00:06:57.417,417.417,3774,00:02:37.407,157.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10028,00:06:58.252,418.252,11679,00:08:07.112,487.112,1651,00:01:08.861,68.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11679,00:08:07.112,487.112,11845,00:08:14.036,494.036,166,00:00:06.924,6.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11845,00:08:14.036,494.036,12189,00:08:28.383,508.383,344,00:00:14.348,14.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12189,00:08:28.383,508.383,13373,00:09:17.766,557.766,1184,00:00:49.383,49.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13373,00:09:17.766,557.766,13676,00:09:30.404,570.404,303,00:00:12.638,12.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13689,00:09:30.946,570.946,14127,00:09:49.214,589.214,438,00:00:18.268,18.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14127,00:09:49.214,589.214,14471,00:10:03.562,603.562,344,00:00:14.348,14.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
