Timecode List:,00:00:42.042,00:00:42.668,00:01:12.114,00:01:36.972,00:01:41.185,00:06:37.606,00:07:51.430,00:08:49.488,00:09:13.095,00:10:32.883,00:10:37.888,00:11:48.292,00:12:05.392,00:12:41.178,00:13:00.113,00:13:27.391,00:13:50.372,00:14:20.944,00:14:55.896,00:15:48.866,00:16:23.859,00:16:29.406,00:16:37.206,00:18:18.640,00:18:26.481,00:18:51.965,00:19:07.898,00:19:42.015,00:20:10.544,00:20:27.227,00:21:11.939,00:21:24.576,00:21:29.081,00:23:23.362,00:23:40.420,00:26:08.443,00:27:06.251,00:27:06.877
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2426,00:01:41.185,101.185,9533,00:06:37.606,397.606,7107,00:04:56.421,296.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9533,00:06:37.606,397.606,11303,00:07:51.430,471.43,1770,00:01:13.824,73.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11303,00:07:51.430,471.43,12695,00:08:49.488,529.488,1392,00:00:58.058,58.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12695,00:08:49.488,529.488,13261,00:09:13.095,553.095,566,00:00:23.607,23.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13261,00:09:13.095,553.095,15174,00:10:32.883,632.883,1913,00:01:19.788,79.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15174,00:10:32.883,632.883,15294,00:10:37.888,637.888,120,00:00:05.005,5.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15294,00:10:37.888,637.888,16982,00:11:48.292,708.292,1688,00:01:10.404,70.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16982,00:11:48.292,708.292,17392,00:12:05.392,725.392,410,00:00:17.100,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17392,00:12:05.392,725.392,18250,00:12:41.178,761.178,858,00:00:35.786,35.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18250,00:12:41.178,761.178,18704,00:13:00.113,780.113,454,00:00:18.936,18.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18704,00:13:00.113,780.113,19358,00:13:27.391,807.391,654,00:00:27.277,27.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,19358,00:13:27.391,807.391,19909,00:13:50.372,830.372,551,00:00:22.981,22.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19909,00:13:50.372,830.372,20642,00:14:20.944,860.944,733,00:00:30.572,30.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20642,00:14:20.944,860.944,21480,00:14:55.896,895.896,838,00:00:34.952,34.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21480,00:14:55.896,895.896,22750,00:15:48.866,948.866,1270,00:00:52.970,52.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22750,00:15:48.866,948.866,23589,00:16:23.859,983.859,839,00:00:34.993,34.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23589,00:16:23.859,983.859,23722,00:16:29.406,989.406,133,00:00:05.547,5.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23722,00:16:29.406,989.406,23909,00:16:37.206,997.206,187,00:00:07.799,7.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,23909,00:16:37.206,997.206,26341,00:18:18.640,1098.64,2432,00:01:41.435,101.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,26341,00:18:18.640,1098.64,26529,00:18:26.481,1106.481,188,00:00:07.841,7.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,26529,00:18:26.481,1106.481,27140,00:18:51.965,1131.965,611,00:00:25.484,25.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27140,00:18:51.965,1131.965,27522,00:19:07.898,1147.898,382,00:00:15.933,15.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,27522,00:19:07.898,1147.898,28340,00:19:42.015,1182.015,818,00:00:34.117,34.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,28340,00:19:42.015,1182.015,29024,00:20:10.544,1210.544,684,00:00:28.529,28.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,29024,00:20:10.544,1210.544,29424,00:20:27.227,1227.227,400,00:00:16.683,16.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,29424,00:20:27.227,1227.227,30496,00:21:11.939,1271.939,1072,00:00:44.711,44.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30496,00:21:11.939,1271.939,30799,00:21:24.576,1284.576,303,00:00:12.638,12.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30799,00:21:24.576,1284.576,30907,00:21:29.081,1289.081,108,00:00:04.505,4.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30907,00:21:29.081,1289.081,33647,00:23:23.362,1403.362,2740,00:01:54.281,114.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,33647,00:23:23.362,1403.362,34056,00:23:40.420,1420.42,409,00:00:17.059,17.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,34056,00:23:40.420,1420.42,37605,00:26:08.443,1568.443,3549,00:02:28.023,148.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
