Timecode List:,00:00:00.042,00:00:42.042,00:00:42.292,00:01:08.068,00:01:23.458,00:01:36.305,00:01:39.933,00:02:03.207,00:04:13.045,00:04:30.062,00:04:49.331,00:05:04.263,00:05:19.736,00:12:23.160,00:15:41.275,00:15:42.025,00:16:50.511,00:18:31.028,00:18:51.507,00:22:08.871,00:22:37.566,00:24:56.288,00:25:10.010,00:26:06.441,00:27:04.291,00:27:04.917
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,
1,2396,00:01:39.933,99.933,2954,00:02:03.207,123.207,558,00:00:23.273,23.273,,,,,,,,,,,,,,,,,
2,2954,00:02:03.207,123.207,6067,00:04:13.045,253.045,3113,00:02:09.838,129.838,,,,,,,,,,,,,,,,,
3,6067,00:04:13.045,253.045,6475,00:04:30.062,270.062,408,00:00:17.017,17.017,,,,,,,,,,,,,,,,,
4,6475,00:04:30.062,270.062,6937,00:04:49.331,289.331,462,00:00:19.269,19.269,,,,,,,,,,,,,,,,,
5,6937,00:04:49.331,289.331,7295,00:05:04.263,304.263,358,00:00:14.932,14.932,,,,,,,,,,,,,,,,,
6,7295,00:05:04.263,304.263,7666,00:05:19.736,319.736,371,00:00:15.474,15.474,,,,,,,,,,,,,,,,,
7,7666,00:05:19.736,319.736,17818,00:12:23.160,743.16,10152,00:07:03.423,423.423,,,,,,,,,,,,,,,,,
8,17818,00:12:23.160,743.16,22568,00:15:41.275,941.275,4750,00:03:18.115,198.115,,,,,,,,,,,,,,,,,
9,22586,00:15:42.025,942.025,24228,00:16:50.511,1010.511,1642,00:01:08.485,68.485,,,,,,,,,,,,,,,,,
10,24228,00:16:50.511,1010.511,26638,00:18:31.028,1111.028,2410,00:01:40.517,100.517,,,,,,,,,,,,,,,,,
11,26638,00:18:31.028,1111.028,27129,00:18:51.507,1131.507,491,00:00:20.479,20.479,,,,,,,,,,,,,,,,,
12,27129,00:18:51.507,1131.507,31861,00:22:08.871,1328.871,4732,00:03:17.364,197.364,,,,,,,,,,,,,,,,,
13,31861,00:22:08.871,1328.871,32549,00:22:37.566,1357.566,688,00:00:28.695,28.695,,,,,,,,,,,,,,,,,
14,32549,00:22:37.566,1357.566,35875,00:24:56.288,1496.288,3326,00:02:18.722,138.722,,,,,,,,,,,,,,,,,
15,35875,00:24:56.288,1496.288,36204,00:25:10.010,1510.01,329,00:00:13.722,13.722,,,,,,,,,,,,,,,,,
16,36204,00:25:10.010,1510.01,37557,00:26:06.441,1566.441,1353,00:00:56.431,56.431,,,,,,,,,,,,,,,,,
