Timecode List:,00:00:00.042,00:00:00.125,00:00:25.275,00:00:25.609,00:01:19.204,00:01:22.916,00:01:58.493,00:02:15.093,00:02:28.649,00:03:24.037,00:03:24.538,00:03:47.019,00:07:30.325,00:07:30.868,00:09:33.574,00:09:33.866,00:09:52.050,00:10:59.826,00:11:00.285,00:12:34.463,00:12:46.558,00:13:55.043,00:13:56.420,00:15:27.344,00:16:36.997,00:16:37.539,00:17:30.884,00:17:31.468,00:18:16.221,00:19:05.562,00:19:05.979,00:20:08.917,00:20:38.906,00:20:59.218,00:20:59.760,00:22:23.969,00:22:24.386,00:22:54.499,00:23:08.972,00:23:25.197,00:24:08.240,00:24:22.254,00:24:34.766,00:24:52.784,00:25:34.660,00:25:54.721,00:26:04.481,00:27:01.622,00:27:01.663
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1988,00:01:22.916,82.916,2841,00:01:58.493,118.493,853,00:00:35.577,35.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2841,00:01:58.493,118.493,3239,00:02:15.093,135.093,398,00:00:16.600,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3239,00:02:15.093,135.093,3564,00:02:28.649,148.649,325,00:00:13.555,13.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3564,00:02:28.649,148.649,4892,00:03:24.037,204.037,1328,00:00:55.389,55.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4904,00:03:24.538,204.538,5443,00:03:47.019,227.019,539,00:00:22.481,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5443,00:03:47.019,227.019,10797,00:07:30.325,450.325,5354,00:03:43.307,223.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10810,00:07:30.868,450.868,13752,00:09:33.574,573.574,2942,00:02:02.706,122.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13759,00:09:33.866,573.866,14195,00:09:52.050,592.05,436,00:00:18.185,18.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14195,00:09:52.050,592.05,15820,00:10:59.826,659.826,1625,00:01:07.776,67.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15831,00:11:00.285,660.285,18089,00:12:34.463,754.463,2258,00:01:34.178,94.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18089,00:12:34.463,754.463,18379,00:12:46.558,766.558,290,00:00:12.095,12.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18379,00:12:46.558,766.558,20021,00:13:55.043,835.043,1642,00:01:08.485,68.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20054,00:13:56.420,836.42,22234,00:15:27.344,927.344,2180,00:01:30.924,90.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22234,00:15:27.344,927.344,23904,00:16:36.997,996.997,1670,00:01:09.653,69.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23917,00:16:37.539,997.539,25196,00:17:30.884,1050.884,1279,00:00:53.345,53.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,25210,00:17:31.468,1051.468,26283,00:18:16.221,1096.221,1073,00:00:44.753,44.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,26283,00:18:16.221,1096.221,27466,00:19:05.562,1145.562,1183,00:00:49.341,49.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27476,00:19:05.979,1145.979,28985,00:20:08.917,1208.917,1509,00:01:02.938,62.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28985,00:20:08.917,1208.917,29704,00:20:38.906,1238.906,719,00:00:29.988,29.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29704,00:20:38.906,1238.906,30191,00:20:59.218,1259.218,487,00:00:20.312,20.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,30204,00:20:59.760,1259.76,32223,00:22:23.969,1343.969,2019,00:01:24.209,84.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,32233,00:22:24.386,1344.386,32955,00:22:54.499,1374.499,722,00:00:30.113,30.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,32955,00:22:54.499,1374.499,33302,00:23:08.972,1388.972,347,00:00:14.473,14.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,33302,00:23:08.972,1388.972,33691,00:23:25.197,1405.197,389,00:00:16.225,16.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,33691,00:23:25.197,1405.197,34723,00:24:08.240,1448.24,1032,00:00:43.043,43.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
