Timecode List:,00:00:00.501,00:00:24.566,00:00:25.609,00:01:16.994,00:01:20.998,00:01:51.153,00:02:34.821,00:03:22.828,00:05:37.588,00:06:09.745,00:06:42.653,00:07:36.915,00:07:37.958,00:08:43.815,00:09:00.082,00:09:15.389,00:09:46.211,00:09:59.558,00:10:13.280,00:13:52.833,00:17:13.867,00:18:01.832,00:21:35.212,00:24:01.233,00:25:07.841,00:26:02.396,00:26:03.063
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,
1,1942,00:01:20.998,80.998,2665,00:01:51.153,111.153,723,00:00:30.155,30.155,,,,,,,,,,,,,,,,,,
2,2665,00:01:51.153,111.153,3712,00:02:34.821,154.821,1047,00:00:43.669,43.669,,,,,,,,,,,,,,,,,,
3,3712,00:02:34.821,154.821,4863,00:03:22.828,202.828,1151,00:00:48.006,48.006,,,,,,,,,,,,,,,,,,
4,4863,00:03:22.828,202.828,8094,00:05:37.588,337.588,3231,00:02:14.760,134.76,,,,,,,,,,,,,,,,,,
5,8094,00:05:37.588,337.588,8865,00:06:09.745,369.745,771,00:00:32.157,32.157,,,,,,,,,,,,,,,,,,
6,8865,00:06:09.745,369.745,9654,00:06:42.653,402.653,789,00:00:32.908,32.908,,,,,,,,,,,,,,,,,,
7,9654,00:06:42.653,402.653,10955,00:07:36.915,456.915,1301,00:00:54.263,54.263,,,,,,,,,,,,,,,,,,
8,10980,00:07:37.958,457.958,12559,00:08:43.815,523.815,1579,00:01:05.858,65.858,,,,,,,,,,,,,,,,,,
9,12559,00:08:43.815,523.815,12949,00:09:00.082,540.082,390,00:00:16.266,16.266,,,,,,,,,,,,,,,,,,
10,12949,00:09:00.082,540.082,13316,00:09:15.389,555.389,367,00:00:15.307,15.307,,,,,,,,,,,,,,,,,,
11,13316,00:09:15.389,555.389,14055,00:09:46.211,586.211,739,00:00:30.822,30.822,,,,,,,,,,,,,,,,,,
12,14055,00:09:46.211,586.211,14375,00:09:59.558,599.558,320,00:00:13.347,13.347,,,,,,,,,,,,,,,,,,
13,14375,00:09:59.558,599.558,14704,00:10:13.280,613.28,329,00:00:13.722,13.722,,,,,,,,,,,,,,,,,,
14,14704,00:10:13.280,613.28,19968,00:13:52.833,832.833,5264,00:03:39.553,219.553,,,,,,,,,,,,,,,,,,
15,19968,00:13:52.833,832.833,24788,00:17:13.867,1033.867,4820,00:03:21.034,201.034,,,,,,,,,,,,,,,,,,
16,24788,00:17:13.867,1033.867,25938,00:18:01.832,1081.832,1150,00:00:47.965,47.965,,,,,,,,,,,,,,,,,,
17,25938,00:18:01.832,1081.832,31054,00:21:35.212,1295.212,5116,00:03:33.380,213.38,,,,,,,,,,,,,,,,,,
18,31054,00:21:35.212,1295.212,34555,00:24:01.233,1441.233,3501,00:02:26.021,146.021,,,,,,,,,,,,,,,,,,
19,34555,00:24:01.233,1441.233,36152,00:25:07.841,1507.841,1597,00:01:06.608,66.608,,,,,,,,,,,,,,,,,,
