Timecode List:,00:00:07.299,00:00:48.715,00:00:53.637,00:01:47.691,00:01:51.653,00:02:23.644,00:05:02.886,00:05:03.303,00:07:07.719,00:07:40.586,00:08:04.526,00:08:08.697,00:08:20.751,00:08:45.943,00:08:46.276,00:10:02.644,00:10:03.103,00:10:52.110,00:11:03.372,00:12:46.350,00:13:05.619,00:13:24.763,00:13:37.067,00:13:37.442,00:14:01.758,00:14:05.220,00:14:21.320,00:15:03.612,00:15:11.161,00:17:29.758,00:17:30.092,00:17:45.566,00:19:46.311,00:20:01.743,00:20:02.160,00:20:43.368,00:21:09.603,00:21:23.367,00:21:27.120,00:22:24.094,00:22:24.303,00:23:06.345,00:23:06.720,00:23:22.694,00:23:38.126,00:23:51.807,00:24:10.409,00:24:10.784,00:26:09.444,00:26:10.237,00:27:07.461,00:27:08.253
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2677,00:01:51.653,111.653,3444,00:02:23.644,143.644,767,00:00:31.990,31.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3444,00:02:23.644,143.644,7262,00:05:02.886,302.886,3818,00:02:39.243,159.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7272,00:05:03.303,303.303,10255,00:07:07.719,427.719,2983,00:02:04.416,124.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10255,00:07:07.719,427.719,11043,00:07:40.586,460.586,788,00:00:32.866,32.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11043,00:07:40.586,460.586,11617,00:08:04.526,484.526,574,00:00:23.941,23.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11617,00:08:04.526,484.526,11717,00:08:08.697,488.697,100,00:00:04.171,4.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11717,00:08:08.697,488.697,12006,00:08:20.751,500.751,289,00:00:12.054,12.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12006,00:08:20.751,500.751,12610,00:08:45.943,525.943,604,00:00:25.192,25.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12618,00:08:46.276,526.276,14449,00:10:02.644,602.644,1831,00:01:16.368,76.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14460,00:10:03.103,603.103,15635,00:10:52.110,652.11,1175,00:00:49.007,49.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
