Timecode List:,00:00:27.903,00:00:28.654,00:01:22.249,00:01:26.461,00:05:25.033,00:05:30.581,00:06:15.584,00:06:40.609,00:06:54.081,00:07:08.846,00:10:06.565,00:10:18.994,00:11:46.665,00:11:47.082,00:13:26.598,00:15:09.284,00:15:24.466,00:15:24.758,00:15:52.578,00:16:29.072,00:16:50.969,00:17:36.932,00:17:37.266,00:19:26.458,00:19:52.568,00:20:09.084,00:20:22.431,00:20:52.503,00:21:05.516,00:21:44.471,00:21:44.805,00:24:03.068,00:24:03.151,00:26:07.359,00:26:08.318,00:27:05.459,00:27:06.126
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2073,00:01:26.461,86.461,7793,00:05:25.033,325.033,5720,00:03:58.572,238.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7793,00:05:25.033,325.033,7926,00:05:30.581,330.581,133,00:00:05.547,5.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7926,00:05:30.581,330.581,9005,00:06:15.584,375.584,1079,00:00:45.003,45.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9005,00:06:15.584,375.584,9605,00:06:40.609,400.609,600,00:00:25.025,25.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9605,00:06:40.609,400.609,9928,00:06:54.081,414.081,323,00:00:13.472,13.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9928,00:06:54.081,414.081,10282,00:07:08.846,428.846,354,00:00:14.765,14.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10282,00:07:08.846,428.846,14543,00:10:06.565,606.565,4261,00:02:57.719,177.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14543,00:10:06.565,606.565,14841,00:10:18.994,618.994,298,00:00:12.429,12.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14841,00:10:18.994,618.994,16943,00:11:46.665,706.665,2102,00:01:27.671,87.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16953,00:11:47.082,707.082,19339,00:13:26.598,806.598,2386,00:01:39.516,99.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19339,00:13:26.598,806.598,21801,00:15:09.284,909.284,2462,00:01:42.686,102.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21801,00:15:09.284,909.284,22165,00:15:24.466,924.466,364,00:00:15.182,15.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22172,00:15:24.758,924.758,22839,00:15:52.578,952.578,667,00:00:27.819,27.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22839,00:15:52.578,952.578,23714,00:16:29.072,989.072,875,00:00:36.495,36.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23714,00:16:29.072,989.072,24239,00:16:50.969,1010.969,525,00:00:21.897,21.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,24239,00:16:50.969,1010.969,25341,00:17:36.932,1056.932,1102,00:00:45.963,45.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25349,00:17:37.266,1057.266,27967,00:19:26.458,1166.458,2618,00:01:49.193,109.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27967,00:19:26.458,1166.458,28593,00:19:52.568,1192.568,626,00:00:26.109,26.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28593,00:19:52.568,1192.568,28989,00:20:09.084,1209.084,396,00:00:16.517,16.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28989,00:20:09.084,1209.084,29309,00:20:22.431,1222.431,320,00:00:13.347,13.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29309,00:20:22.431,1222.431,30030,00:20:52.503,1252.503,721,00:00:30.072,30.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,30030,00:20:52.503,1252.503,30342,00:21:05.516,1265.516,312,00:00:13.013,13.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30342,00:21:05.516,1265.516,31276,00:21:44.471,1304.471,934,00:00:38.956,38.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,31284,00:21:44.805,1304.805,34599,00:24:03.068,1443.068,3315,00:02:18.263,138.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,34601,00:24:03.151,1443.151,37579,00:26:07.359,1567.359,2978,00:02:04.208,124.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
