Timecode List:,00:00:31.156,00:00:44.169,00:00:58.392,00:00:59.017,00:01:52.529,00:01:56.241,00:02:15.928,00:04:17.799,00:04:53.085,00:06:15.292,00:06:45.864,00:06:45.989,00:09:18.100,00:09:18.475,00:09:46.795,00:10:01.018,00:10:16.116,00:10:16.325,00:10:48.482,00:11:42.411,00:12:49.228,00:13:14.378,00:13:35.899,00:13:36.650,00:13:54.459,00:15:08.992,00:15:09.201,00:15:26.343,00:15:46.530,00:16:00.794,00:17:15.285,00:17:38.684,00:19:04.394,00:19:46.603,00:20:05.372,00:20:26.351,00:20:58.175,00:21:33.794,00:22:00.654,00:22:20.757,00:22:24.511,00:22:39.526,00:22:52.748,00:23:34.331,00:24:06.864,00:24:23.881,00:24:37.769,00:26:06.608,00:26:07.442,00:27:04.625,00:27:05.292
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2787,00:01:56.241,116.241,3259,00:02:15.928,135.928,472,00:00:19.686,19.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3259,00:02:15.928,135.928,6181,00:04:17.799,257.799,2922,00:02:01.872,121.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6181,00:04:17.799,257.799,7027,00:04:53.085,293.085,846,00:00:35.285,35.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7027,00:04:53.085,293.085,8998,00:06:15.292,375.292,1971,00:01:22.207,82.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8998,00:06:15.292,375.292,9731,00:06:45.864,405.864,733,00:00:30.572,30.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9734,00:06:45.989,405.989,13381,00:09:18.100,558.1,3647,00:02:32.110,152.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13390,00:09:18.475,558.475,14069,00:09:46.795,586.795,679,00:00:28.320,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14069,00:09:46.795,586.795,14410,00:10:01.018,601.018,341,00:00:14.223,14.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14410,00:10:01.018,601.018,14772,00:10:16.116,616.116,362,00:00:15.098,15.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14777,00:10:16.325,616.325,15548,00:10:48.482,648.482,771,00:00:32.157,32.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15548,00:10:48.482,648.482,16841,00:11:42.411,702.411,1293,00:00:53.929,53.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16841,00:11:42.411,702.411,18443,00:12:49.228,769.228,1602,00:01:06.817,66.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
