Timecode List:,00:00:00.042,00:00:29.655,00:00:30.405,00:00:55.764,00:01:24.042,00:01:27.838,00:05:20.362,00:06:15.000,00:06:53.205,00:09:03.544,00:09:04.211,00:10:08.275,00:10:08.775,00:13:04.159,00:13:20.175,00:13:36.024,00:13:53.041,00:14:06.597,00:15:27.594,00:15:28.303,00:17:29.716,00:18:21.143,00:21:33.710,00:24:29.678,00:26:06.567,00:26:07.651,00:27:04.625,00:27:04.875
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,
1,2106,00:01:27.838,87.838,7681,00:05:20.362,320.362,5575,00:03:52.524,232.524,,,,,,,,,,,,,,,,,,,
2,7681,00:05:20.362,320.362,8991,00:06:15.000,375,1310,00:00:54.638,54.638,,,,,,,,,,,,,,,,,,,
3,8991,00:06:15.000,375,9907,00:06:53.205,413.205,916,00:00:38.205,38.205,,,,,,,,,,,,,,,,,,,
4,9907,00:06:53.205,413.205,13032,00:09:03.544,543.544,3125,00:02:10.339,130.339,,,,,,,,,,,,,,,,,,,
5,13048,00:09:04.211,544.211,14584,00:10:08.275,608.275,1536,00:01:04.064,64.064,,,,,,,,,,,,,,,,,,,
6,14596,00:10:08.775,608.775,18801,00:13:04.159,784.159,4205,00:02:55.384,175.384,,,,,,,,,,,,,,,,,,,
7,18801,00:13:04.159,784.159,19185,00:13:20.175,800.175,384,00:00:16.016,16.016,,,,,,,,,,,,,,,,,,,
8,19185,00:13:20.175,800.175,19565,00:13:36.024,816.024,380,00:00:15.849,15.849,,,,,,,,,,,,,,,,,,,
9,19565,00:13:36.024,816.024,19973,00:13:53.041,833.041,408,00:00:17.017,17.017,,,,,,,,,,,,,,,,,,,
10,19973,00:13:53.041,833.041,20298,00:14:06.597,846.597,325,00:00:13.555,13.555,,,,,,,,,,,,,,,,,,,
11,20298,00:14:06.597,846.597,22240,00:15:27.594,927.594,1942,00:01:20.998,80.998,,,,,,,,,,,,,,,,,,,
12,22257,00:15:28.303,928.303,25168,00:17:29.716,1049.716,2911,00:02:01.413,121.413,,,,,,,,,,,,,,,,,,,
13,25168,00:17:29.716,1049.716,26401,00:18:21.143,1101.143,1233,00:00:51.426,51.426,,,,,,,,,,,,,,,,,,,
14,26401,00:18:21.143,1101.143,31018,00:21:33.710,1293.71,4617,00:03:12.568,192.568,,,,,,,,,,,,,,,,,,,
15,31018,00:21:33.710,1293.71,35237,00:24:29.678,1469.678,4219,00:02:55.968,175.968,,,,,,,,,,,,,,,,,,,
16,35237,00:24:29.678,1469.678,37560,00:26:06.567,1566.567,2323,00:01:36.889,96.889,,,,,,,,,,,,,,,,,,,
